id_integrante;Unidade;Cargo / Nome;Data Contratação;Idade;Status do Integrante;Fonte Recrutamento;Ano Contratacao
E063;Beta;Consultor / Foster;06/05/2014;32;Ativo;Site da Empresa;06/05/2014
E064;Sul;Operador / Elliott;28/09/2017;55;Ativo;Site de Vagas;28/09/2017
E065;Beta;Consultor / Hamilton;07/06/2019;28;Ativo;Site de Vagas;07/06/2019
E066;Gama;Gerente / Chapman;29/03/2018;26;Ativo;Feira de Contratação;29/03/2018
E067;Gama;Assistente  / Mason;27/11/2014;39;Ativo;Indicação Funcionários;27/11/2014
E068;Beta;Assistente  / Brooks;29/09/2016;40;Ativo;Site da Empresa;29/09/2016
E069;Gama;Assistente  / Greene;29/03/2018;39;Ativo;Site de Vagas;29/03/2018
E070;Sul;Assistente  / Ward;16/02/2017;36;Ativo;Site da Empresa;16/02/2017
E071;Alpha;Supervisor / Wright;30/04/2018;33;Ativo;Indicação Funcionários;30/04/2018
E072;Sul;Assistente  / Barnes;06/05/2018;30;Ativo;Site de Vagas;06/05/2018
E073;Alpha;Gerente / Hudson;06/08/2016;32;Ativo;Site de Vagas;06/08/2016
E074;Sul;Operador / Kelley;27/11/2014;42;Ativo;Site de Vagas;27/11/2014
E075;Sul;Supervisor / James;06/11/2014;46;Ativo;Feira de Contratação;06/11/2014
E076;Alpha;Supervisor / Gilbert;04/01/2016;49;Ativo;Feira de Contratação;04/01/2016
E077;Beta;Assistente  / Warren;07/04/2019;47;Ativo;Site da Empresa;07/04/2019
E078;Beta;Consultor / Fernandez;06/06/2012;45;Ativo;Feira de Contratação;06/06/2012
E079;Sul;Consultor / Ortiz;15/02/2018;40;Ativo;Site de Vagas;15/02/2018
E080;Gama;Supervisor / Rogers;04/12/2017;38;Ativo;Feira de Contratação;04/12/2017
E081;Beta;Supervisor / Arnold;10/11/2016;46;Ativo;Feira de Contratação;10/11/2016
E082;Beta;Gerente / Black;18/08/2016;41;Ativo;Feira de Contratação;18/08/2016
E083;Alpha;Supervisor / White;06/08/2016;36;Ativo;Site da Empresa;06/08/2016
E084;Alpha;Assistente  / Stevens;29/09/2016;40;Ativo;Site de Vagas;29/09/2016
E085;Gama;Assistente  / Wells;17/08/2017;53;Ativo;Site da Empresa;17/08/2017
E086;Beta;Assistente  / Hughes;19/02/2015;29;Ativo;Site da Empresa;19/02/2015
E087;Alpha;Gerente / Bailey;17/08/2017;27;Ativo;Site de Vagas;17/08/2017
E088;Sul;Consultor / Stewart;02/07/2014;47;Ativo;Feira de Contratação;02/07/2014
E089;Beta;Assistente  / Burke;04/12/2017;54;Ativo;Site de Vagas;04/12/2017
E090;Beta;Assistente  / Young;30/04/2015;27;Ativo;Site de Vagas;30/04/2015
E091;Beta;Consultor / Henry;28/09/2017;41;Ativo;Site da Empresa;28/09/2017
E092;Sul;Operador / Reyes;30/04/2018;34;Ativo;Site de Vagas;30/04/2018
E093;Sul;Assistente  / Morgan;26/09/2013;26;Ativo;Feira de Contratação;26/09/2013
E094;Sul;Supervisor / Gray;06/05/2014;24;Ativo;Feira de Contratação;06/05/2014
E095;Sul;Assistente  / Riley;03/05/2015;26;Ativo;Site de Vagas;03/05/2015
E096;Gama;Assistente  / Perez;28/09/2017;40;Ativo;Indicação Funcionários;28/09/2017
E097;Gama;Supervisor / Taylor;30/09/2014;27;Ativo;Feira de Contratação;30/09/2014
E098;Alpha;Consultor / Martin;08/06/2014;51;Ativo;Site de Vagas;08/06/2014
E099;Gama;Consultor / Olson;15/02/2018;26;Ativo;Site de Vagas;15/02/2018
E100;Sul;Gerente / Lawrence;04/12/2017;41;Ativo;Site da Empresa;04/12/2017
E101;Sul;Operador / Peterson;18/08/2016;36;Ativo;Site de Vagas;18/08/2016
E102;Sul;Assistente  / Gonzales;14/05/2015;45;Ativo;Indicação Funcionários;14/05/2015
E103;Gama;Assistente  / Lynch;07/06/2019;32;Ativo;Site de Vagas;07/06/2019
E104;Sul;Consultor / Williamson;06/08/2016;27;Ativo;Site de Vagas;06/08/2016
E105;Sul;Assistente  / Shaw;29/09/2016;25;Ativo;Site de Vagas;29/09/2016
E106;Beta;Gerente / Murphy;01/09/2015;27;Ativo;Site de Vagas;01/09/2015
E107;Beta;Consultor / Harris;31/08/2009;48;Ativo;Site da Empresa;31/08/2009
E108;Gama;Consultor / Carpenter;28/09/2017;50;Ativo;Site de Vagas;28/09/2017
E109;Alpha;Operador / Jackson;30/04/2012;33;Ativo;Feira de Contratação;30/04/2012
E110;Beta;Supervisor / Allen;04/05/2017;50;Ativo;Site da Empresa;04/05/2017
E111;Beta;Assistente  / Bell;06/02/2015;52;Ativo;Site de Vagas;06/02/2015
E112;Sul;Consultor / Harvey;07/01/2014;47;Ativo;Indicação Funcionários;07/01/2014
E113;Gama;Supervisor / Rodriguez;27/01/2019;32;Ativo;Site de Vagas;27/01/2019
E114;Alpha;Gerente / Johnston;17/09/2017;42;Ativo;Site de Vagas;17/09/2017
E115;Sul;Supervisor / Boyd;05/02/2018;34;Ativo;Indicação Funcionários;05/02/2018
E116;Alpha;Consultor / Andrews;29/09/2016;34;Ativo;Site de Vagas;29/09/2016
E117;Beta;Operador / Ramirez;16/08/2015;34;Ativo;Site de Vagas;16/08/2015
E118;Alpha;Assistente  / Lane;09/02/2015;40;Ativo;Indicação Funcionários;09/02/2015
E119;Gama;Consultor / Lee;19/07/2013;40;Ativo;Site da Empresa;19/07/2013
E120;Gama;Operador / Adams;31/07/2012;38;Ativo;Site da Empresa;31/07/2012
E121;Gama;Gerente / Welch;03/05/2015;36;Ativo;Indicação Funcionários;03/05/2015
E122;Gama;Consultor / Anderson;06/07/2017;46;Ativo;Feira de Contratação;06/07/2017
E123;Sul;Consultor / Johnson;03/02/2015;36;Ativo;Site da Empresa;03/02/2015
E124;Gama;Gerente / Howard;04/12/2017;29;Ativo;Feira de Contratação;04/12/2017
E125;Gama;Assistente  / Robinson;10/07/2014;23;Ativo;Feira de Contratação;10/07/2014
E126;Beta;Supervisor / Romero;28/09/2017;31;Ativo;Site de Vagas;28/09/2017
E127;Beta;Assistente  / Robertson;06/07/2017;37;Ativo;Feira de Contratação;06/07/2017
E128;Beta;Operador / Schmidt;06/06/2019;31;Ativo;Indicação Funcionários;06/06/2019
E129;Alpha;Assistente  / Carter;18/08/2016;34;Ativo;Site de Vagas;18/08/2016
E130;Gama;Operador / Snyder;10/10/2017;30;Ativo;Site de Vagas;10/10/2017
E131;Gama;Assistente  / Collins;28/09/2017;52;Ativo;Site de Vagas;28/09/2017
E132;Beta;Consultor / Stone;21/07/2019;50;Ativo;Indicação Funcionários;21/07/2019
E133;Sul;Assistente  / Scott;10/11/2016;27;Ativo;Site de Vagas;10/11/2016
E134;Sul;Supervisor / Matthews;06/08/2016;37;Ativo;Feira de Contratação;06/08/2016
E135;Gama;Assistente  / Bowman;01/09/2015;40;Ativo;Feira de Contratação;01/09/2015
E136;Beta;Assistente  / Morrison;29/08/2013;30;Ativo;Site de Vagas;29/08/2013
E137;Alpha;Consultor / Gutierrez;03/04/2014;38;Ativo;Feira de Contratação;03/04/2014
E138;Beta;Supervisor / Sanchez;06/05/2014;29;Ativo;Site da Empresa;06/05/2014
E139;Gama;Gerente / Knight;29/03/2018;28;Ativo;Site de Vagas;29/03/2018
E140;Alpha;Gerente / Dean;17/08/2017;39;Ativo;Indicação Funcionários;17/08/2017
E141;Sul;Assistente  / Phillips;10/07/2014;36;Ativo;Site de Vagas;10/07/2014
E142;Sul;Supervisor / Carroll;29/09/2016;32;Ativo;Indicação Funcionários;29/09/2016
E143;Sul;Assistente  / Bryant;12/05/2016;46;Ativo;Site da Empresa;12/05/2016
E144;Gama;Assistente  / Palmer;06/07/2017;30;Ativo;Indicação Funcionários;06/07/2017
E145;Sul;Assistente  / Gardner;03/04/2014;25;Ativo;Site da Empresa;03/04/2014
E146;Gama;Gerente / Gordon;06/07/2017;26;Ativo;Site de Vagas;06/07/2017
E147;Beta;Operador / Lopez;12/05/2016;42;Ativo;Feira de Contratação;12/05/2016
E148;Gama;Assistente  / Freeman;28/09/2017;32;Ativo;Indicação Funcionários;28/09/2017
E149;Alpha;Assistente  / Harper;16/02/2017;28;Ativo;Site de Vagas;16/02/2017
E150;Gama;Operador / Fields;05/05/2018;23;Ativo;Feira de Contratação;05/05/2018
E151;Sul;Operador / Hunt;05/08/2019;39;Ativo;Indicação Funcionários;05/08/2019
E152;Sul;Consultor / Mills;04/05/2017;26;Ativo;Site de Vagas;04/05/2017
E153;Alpha;Supervisor / Moore;17/05/2017;31;Ativo;Site de Vagas;17/05/2017
E154;Alpha;Operador / Kennedy;01/05/2019;31;Ativo;Site de Vagas;01/05/2019
E155;Sul;Assistente  / Banks;27/10/2011;28;Ativo;Feira de Contratação;27/10/2011
E156;Beta;Assistente  / Ray;31/05/2017;32;Ativo;Site de Vagas;31/05/2017
E157;Sul;Consultor / Baker;28/09/2017;30;Ativo;Site de Vagas;28/09/2017
E158;Gama;Supervisor / Ellis;04/01/2018;27;Ativo;Site de Vagas;04/01/2018
